text,true_label,predicted_label,confidence,is_correct,prob_negative,prob_neutral,prob_positive
"dulu gua punya doi gojek justru senang tidak tahu kenapa karena itu kerjaan halal ya jadi gua fine fine saja , toh kalau memang sayang enggak bakal kemana",positive,negative,0.9331771425742708,False,0.9331771425742708,0.00861515489157782,0.05820770253415147
tidak panik,positive,negative,0.9287591157310989,False,0.9287591157310989,0.025140062873831432,0.046100821395069665
tidak konflik,positive,negative,0.9286573929394036,False,0.9286573929394036,0.02421777529466587,0.04712483176593043
tidak cinta,negative,positive,0.9282991610284528,False,0.06911311335991821,0.0025877256116288846,0.9282991610284528
"kampung daun adalah salah satu restoran yang terletak di lembang . menurut saya , kualitas makanan di sini biasa saja , over harga malah .",negative,positive,0.9245371463632766,False,0.06948990128599768,0.005972952350725792,0.9245371463632766
"kopitiam oey braga , kopitiam ini menyediakan berbagai macam makanan , terutama makanan lokal / tradisional , penataan ruangan nya ala nyonya belanda / peranakan !",neutral,positive,0.9210138796700047,False,0.0459582099171863,0.03302791041280894,0.9210138796700047
"sushi tei di bandung , yang pasti nasi untuk sushi nya terlalu manis dan ikan nya terlalu kecil kering . pokok nya beda banget sama sushi tei yang di pi mal .",negative,positive,0.9178460608451786,False,0.07880905595393117,0.0033448832008903203,0.9178460608451786
orang pas ambek demokrat tidak usah sok-sokan akur . dari dulu kayak udah musuhan kali .,neutral,negative,0.917781357877904,False,0.917781357877904,0.04282253825370335,0.03939610386839256
"awal masuk resto ini agak kurang meyakinkan karena tidak ada staf yang menunggu di bawah , awal nya kami pikir tutup , ternyata harus naik tangga ke atas dulu . makanan lumayan enak , tapi tergolong mahal untuk layanan yang biasa saja .",positive,negative,0.9164970662689492,False,0.9164970662689492,0.008277404468764205,0.07522552926228644
"padanan ayam dan keju cair cukup enak , karena memberi rasa kenyang , untuk hot chicken wings cukup enak . untuk pesta ulang tahun anak cukup luas dan open air",negative,positive,0.9159604741219579,False,0.004576710423107744,0.07946281545493433,0.9159604741219579
"saya mengetahui restoran ini dari ulasan-ulasan yang saya lihat di internet dan akhirnya saya tertarik untuk mencoba karena diiring - imingi oleh rasa yang enak dan harga yang terjangkau . saya dan keluarga mencoba datang dan sebagian besar memesan menu sirloin ala suis dan tenderloin , dan ada satu yang memesan pork chop . secara keseluruhan baik kami kurang puas dengan steak yang disajikan , daging nya terlalu tipis . harga terlalu mahal juga untuk ukuran steak yang seperti itu .",negative,positive,0.914143726157084,False,0.08287310331280746,0.0029831705301086035,0.914143726157084
"saya lumayan sering makan di rumah makan ampera yang ada di jakarta dan bandung , kemarin saya mencoba cabang nya yang ada di cimahi . saya memesan paru , babat , sate telur , dan cucut keong kecil : d , untuk rasanya kurang lebih sama dengan tempat lainnya , tapi saya agak kecewa dengan cucut nya yang terasa kurang bumbu . untuk sambal nya terasa terlalu manis juga jadi kurang enak .",negative,positive,0.9041261441431331,False,0.0945411301133941,0.0013327257434728845,0.9041261441431331
"sbener ya ada salah apa sih pak memang pak . de memecah belah umat maksud ya yang mana setahu saya pak . de tidak mengopak-mengopakan semua sama tanpa terkecuali ,",positive,negative,0.9023144483373396,False,0.9023144483373396,0.0049755496729056966,0.09271000198975458
"di sini selalu ramai dan antrean bisa panjang sampai ke pinggir jalan , tapi enak dan worth it untuk dicoba . cuanki dan batagor nya enak dan cukup murah . hanya saja antrian nya bikin sesak dan jalur keluar masuk nya agak membingungkan apalagi saat membawa mangkuk bakso berkuah panas . agak kotor karena ada tempat sampah di bagian luar sehingga banyak lalat . jadi kurang nyaman .",negative,positive,0.900054206873369,False,0.09962137420593146,0.000324418920699419,0.900054206873369
2 hari yang lalu saya makan di tempat ini dan saya memesan untuk dibawa pulang dan makan di tempat saya melihat kode di bon pesanan saya ada tanda antara di bungkus dan makan di tempat yang luar biasa mereka menyajikan ke meja yang untuk dibungkus dan membuat yang untuk makan di tempat .,neutral,positive,0.8996717771273056,False,0.0769431833126594,0.023385039560035115,0.8996717771273056
"saya mampir ke restoran ini untuk makan malam karena kebetulan lewat dalam perjalanan menuju hotel saya menginap dan karena sudah kelaperan dan saya dan teman akhirnya memilih untuk mampir di restoran ini . tempat nya cukup nyaman dan bersih , namun rasa makanan nya biasa saja bahkan kami diharuskan membayar terlebih dahulu meskipun kami belum selesai makan hanya karena jam sudah mendekati waktu tutup .",negative,positive,0.8957989390782307,False,0.10209367004313834,0.0021073908786309547,0.8957989390782307
"biarlah bintang yang berbicara , sangat memuaskan , sukses selalu",neutral,positive,0.8929783673761809,False,0.017585967828942964,0.08943566479487618,0.8929783673761809
"tempat nya sangat bagus , ada yang seperti restoran biasa . ada pilihan saung saung untuk kelompok atau keluarga . bakso nya sendiri ada banyak pilihan , tapi untuk rasa , sangat biasa dan tidak istimewa . mereka juga menyediakan makanan lain selain bakso . meskipun tempat nya bagus tapi kurang populer karena rasa makanan nya yang tidak membuat orang sengaja ingin kembali ke tempat ini .",negative,positive,0.8914177415975092,False,0.1084376958407175,0.00014456256177340852,0.8914177415975092
chiba steak dekat kantor saya . pelayanan sih oke . rasa biasa saja . tidak ada yang spesial dari steak yang disajikan . semoga bisa maju terus chiba steak .,positive,negative,0.8912759069808223,False,0.8912759069808223,0.0054810529238865716,0.10324304009529119
"saya dan keluarga mencoba bersantap di karamba resto karena sopir mobil sewa kami merekomendasikan nya . kami memang tiba di tempat agak malam sekitar pakai . 21 meskipun restoran belum tutup atau bersiap-siap akan tutup , namun beberapa menu telah habis . bahkan ibu dan suami saya memesan nasi timbel yang sayur asem nya sudah habis dan diganti sup sayur oleh pihak resto . tidak banyak pilihan yang bisa kami pilih . kurang rekomendasi .",negative,positive,0.8908159731872104,False,0.0851668989879631,0.024017127824826456,0.8908159731872104
"saudara-saudara yang ingkar janji , yang suka bohong , itu adalah para ku rawa saudara-saudara sekalian . tidak boleh kritik , harus santun . boleh bohong asal santun , boleh mencuri asal santun .",neutral,negative,0.8903860290152267,False,0.8903860290152267,0.0043992961209496214,0.10521467486382381
"tempat makan nya unik , penyajian makanan tradisional banget . rasa standar banget , masih ada banyak rumah makan khas sunda yang rasanya lebih menang . kalau menikmati suasana sunda zaman dulu sih oke . tapi kalau soal enak , relatif deh . saya sih menganggap ini sangat biasa saja .",negative,positive,0.8868048286257286,False,0.11311043117106401,8.474020320740749e-05,0.8868048286257286
"ikut menambahkan : kalau menurut saya bukan sekadar cari aman , khianat atau apa , tetapi memang yang tiga ini pan . pks . grd bagus karena mereka sudah komitmen tukar-tukaran dukung kader nya .",positive,negative,0.8818578141028812,False,0.8818578141028812,0.02276834571011853,0.09537384018700018
"keunikan nya memang tradisional nya , sampai ke piring gelas menggunakan piring dan gelas dari seng ya ? . unik sih . tetapi makanan nya walau tradisional namun rasanya tidak terlalu enak menurut saya .",negative,positive,0.8817054960031134,False,0.1123085572441096,0.005985946752777044,0.8817054960031134
gue tidak pernah kesal sih sama pemimpin indonesia . karena gue tipe orang yang bisa percaya sama pemimpin gue sendiri . gue yakin mereka tidak selalu minus .,positive,negative,0.8810844958121624,False,0.8810844958121624,0.00138982544413971,0.1175256787436979
tidak panas,positive,negative,0.8798574154467982,False,0.8798574154467982,0.022945138572054335,0.09719744598114748
"secara keseluruhan baik : lumayan baik . atmosfer nya enak juga buat santai-santai bareng . cerita nya ke sini tidak sengaja karena pengin mencoba tempat baru . pas masuk yang dicari pria ya langsung resto nya dulu karena lapar . hahaha . aku pesan nasi bambu lupa nama nya menurut saya sih biasa saja , minuman nya sih enak , hanya kalau melihat harga nya ya jujur saja memang mahal saya kurang merekomendasikan tempat ini .",negative,positive,0.8790704028849973,False,0.12045095663500459,0.0004786404799981953,0.8790704028849973
"entah kenapa tidak bisa berpindah dari xiaomi , saya suka bisa layar capture 3 jari itu",positive,negative,0.8788401510329384,False,0.8788401510329384,0.0378039340475205,0.08335591491954102
"mccf singkatan dari mulia cirebon orang cina makanan . kantin ini menyediakan chinese food yang disimplifikasi . fitur utama nya rasa yang lumayan dan porsi besar , cocok untuk pangsa pasar mahasiswa yang menjadi target market nya . saya pribadi kurang suka .",negative,positive,0.8786369039214293,False,0.11123761082708074,0.010125485251489954,0.8786369039214293
